No,Area,Cabang,Kode,Nama Toko,Jenis Toko,Alamat,Hotel VASA (Ya/Tidak),Hotel IBIS Budget (Ya/Tidak),cadangan ke … (hanya untuk toko cadangan),Kadiv Mitra 10,Jumlah orang,Nama Undangan,Meja VIP,Keterangan
121,5,MALANG,16F01150017,SENG JAYA (EDY SURYANTO),TRO,SUTAN SYAHRIR 29,Ya,Tidak,,,2,EDY SURYANTO,,
122,5,MALANG,16F01150040,"SENG JAYA EXCLUSIVE, CV ",TRO,SULTAN SYAHRIR 29-B KASIN,Ya,Tidak,,,2,JOHAN SURYANTO,,
123,5,MALANG,16F01170002,BANGUN INDAH GRAHA (PT. BANGUN MEGA MAKMUR),MTO,SOEKARNO HATTA 68. MALANG,Ya,Tidak,,,2,DEWI & STANLEY,,
124,5,MALANG,16F01230001,"BANGUNAN, TB",MTO,RAYA JAGIL - PRIGEN 26,Tidak,Tidak,,,2,DENI,,
125,5,MALANG,16F01250026,"SENTRAL ABADI BANGUNAN, PT ",MTO,RAYA KARANGLO 131,Ya,Tidak,,,2,YURIA MIRAWATI,,
126,5,PROBOLINGGO,16G01030009,ATTAMANI BAROKAH,TRO,HANGTUAH 9 NGEMPLAKREJO,Tidak,Tidak,,,2,IMAM BAIDLAWI,,
127,5,PROBOLINGGO,16G02030028,CV TRI JAYA SUKSES,TRO,SOEKARNO HATTA 116,Tidak,Tidak,,,2,TJANDRA HERMANTO,,
128,5,SIDOARJO,16D01010011,SAN JAYA (PT. SANJAYA CITRA PRATAMA),TRO,TEUKU UMAR 17,Tidak,Tidak,,,2,CICILIA,,
129,5,SIDOARJO,16D01010034,"JAYA, UD ",TRO,SAMANHUDI 104 (DEPAN MASJID JASEM),Tidak,Tidak,,,2,FAUZI,,
130,5,SIDOARJO,16D01010037,SUBUR JAYA,TRO,RUKO PONDOK MUTIARA N 14-15,Tidak,Tidak,,,2,HONGGO HERMAWAN,,
131,5,SIDOARJO,16D01010047,JAYA MULYA,TRO,RAYA PAGERWOJO F7,Tidak,Tidak,,,2,SILVY,,
132,5,SIDOARJO,16D01010051,SUMBER BUMI,TRO,SUKO SUNGON,Tidak,Tidak,,,2,BAMBANG,,
133,5,SIDOARJO,16D01010059,"BERSATU JAYA, CV ",TRO,CEMENGKALANG RT.01 RW.01,Tidak,Tidak,,,2,HONGGO SANTOSO H.,,
134,5,SIDOARJO,16D01010061,"UTAMA BANGUNAN, CV ",TRO,RY CEMENG KALANG,Tidak,Tidak,,,2,SUDIRMAN,,
135,5,SIDOARJO,16D01010067,"SARI BUMI RAYA, UD ",TRO,LINGKAR TIMUR 1,Tidak,Tidak,,,2,MAT CHOIRI,,
136,5,SIDOARJO,16D01010094,"SARI BUMI RAYA, UD ",TRO,RAYA SUKO SUNGON RT. 4 RW. 1,Tidak,Tidak,,,2,AZIS MASHURI,,
137,5,SIDOARJO,16D01010148,"CATUR MITRA SEJATI SENTOSA, PT",MTO,SIDOARJO,Tidak,Tidak,,1,1,ANDRE,,
138,5,SIDOARJO,16D01010148,"CATUR MITRA SEJATI SENTOSA, PT",MTO,SIDOARJO ( HO MITRA10 TANGERANG ),Tidak,Ya,,,2,VANNY ARIUS ISKANDAR & ERIK CHRISTIAN,,"tiket utk erik dan varius, kamar hanya 1 sharing, kirim ke mendrisio"
139,5,SIDOARJO,16D01010148,"CATUR MITRA SEJATI SENTOSA, PT ",MTO,JENGGOLO NO 78 - 82,Tidak,Tidak,,,2,YULIAWATI,,
140,5,SIDOARJO,16D01010152,"HANTAR PRADA HARMONI, PT",TRO,WISMA SARINADI S NO 24,Tidak,Tidak,,,2,IIN,,
141,5,SIDOARJO,16D01010154,"ARGA BANGUN IDEAL, PT",TRO,"SEKAWAN RAYA NO 01, BUMI CITRA FAJAR",Tidak,Tidak,,,2,RONALD,,
142,5,SIDOARJO,16D01020002,KARUNIA,TRO,RAYA KEMIRI-BLURU KIDUL RT.02/RW.01,Tidak,Tidak,,,2,SUGENG,,
143,5,SIDOARJO,16D01020007,BAROKAH JAYA,TRO,WADUNG ASIH 22,Tidak,Tidak,,,2,FATIQ,,
144,5,SIDOARJO,16D01020010,DUA SATU "21",TRO,DS. ENTAL SEWU RT.13/RW.04,Tidak,Tidak,,,2,YONO,,
145,5,SIDOARJO,16D01020012,FAJAR MULIA,TRO,RANDU ASRI 2,Tidak,Tidak,,,2,AMIN,,
146,5,SIDOARJO,16D01020053,DUA PUTRI,TRO,DUSUN JAMBE,Tidak,Tidak,,,2,DIDIK,,
147,5,SIDOARJO,16D01020065,BAROKAH,TRO,PAGERWOJO BUDURAN - SIDOARJO,Tidak,Tidak,,,2,FANANI,,
148,5,SIDOARJO,16D01030002,"HANURA, UD ",TRO,GARUDA 4,Tidak,Tidak,,,2,H. ALI,,
149,5,SIDOARJO,16D01030006,SARI BUMI,TRO,RAJAWALI 22A,Tidak,Tidak,,,2,BUDI,,
150,5,SIDOARJO,16D01030020,SARI BUMI RAYA,TRO,PERUM PRANTI BLOK AO/9-10,Tidak,Tidak,,,2,IMAM BUSTHONI,,
151,5,SIDOARJO,16D01040009,"MEGADEPO INDONESIA, PT",MTO,SIDOARJO,Tidak,Tidak,,,2,JOHNNY LIYANTO,,
152,5,SIDOARJO,16D01040009,"MEGADEPO INDONESIA, PT ",MTO,SIDOARJO,Tidak,Tidak,,,2,HERY,,
153,5,SIDOARJO,16D01040009,"MEGADEPO INDONESIA, PT ",MTO,SIDOARJO,Tidak,Tidak,,,2,LINDA,,
154,5,SIDOARJO,16D01040058,TONINDO,TRO,JOYO BOYO 56 (BELAKANG MASPION 1),Tidak,Tidak,,,2,TONI,,
155,5,SIDOARJO,16D01050007,BUMI JAYA,TRO,GADUNG 27,Tidak,Tidak,,,2,AFUNG,,
156,5,SIDOARJO,16D01050014,JOYO MAS,TRO,BRIGJEND. KATAMSO 6-7,Tidak,Tidak,,,2,ALFIN,,
157,5,SIDOARJO,16D01050015,KARUNIA II,TRO,PERUM ALAM PESONA 2,Tidak,Tidak,,,2,IRIN,,
158,5,SIDOARJO,16D01050036,"SARI BUMI BANGUNAN, UD(PT. SARI BUMI SIDAYU)",MTO,LET.JEND. SUPRAPTO 12,Tidak,Tidak,,,2,ANAS,,
159,5,SIDOARJO,16D01050052,UTAMA JAYA,TRO,RUKO DELTASARI  AP-2,Tidak,Tidak,,,2,REZA,,
160,5,SIDOARJO,16D01050054,YANG ABADI,TRO,RAYA TROPODO 114,Tidak,Tidak,,,2,KOH YAM,,
161,5,SIDOARJO,16D01050091,SARI BUMI RAYA,TRO,RY NGINGAS SELATAN 6,Tidak,Tidak,,,2,DR SURUR,,
162,5,SIDOARJO,16D01050131,RIA JAYA,TRO,RAYA TAMBAK SAWAH 22A,Tidak,Tidak,,,2,SUYONO,,
163,5,SIDOARJO,16D01060004,"CENTRO BANGUNAN, UD ",TRO,"SAMBI BULU, BELAKANG PABRIK KAPAL API",Tidak,Tidak,,,2,ASTUTI,,
164,5,SIDOARJO,16D01060009,GANDA PUTRA,TRO,GELURAN 23,Tidak,Tidak,,,2,SANTO,,
165,5,SIDOARJO,16D01060013,HARAPAN JAYA,TRO,GELURAN BALAI DESA GG. JERUK I (POJOK),Tidak,Tidak,,,2,CAI MUSTONO,,
166,5,SIDOARJO,16D01060020,MAKMUR,TRO,WONOCOLO 101,Tidak,Tidak,,,2,FRANSISCO,,
167,5,SIDOARJO,16D01060021,"MEKAR JAYA 2, UD ",TRO,WISMA TROSOBO III/1,Tidak,Tidak,,,2,IMAM,,
168,5,SIDOARJO,16D01060022,"MURAH, UD ",TRO,MANGGA 104,Tidak,Tidak,,,2,ASWIN,,
169,5,SIDOARJO,16D01060069,"SARI BUMI, UD ",TRO,RAYA GELURAN 105,Tidak,Tidak,,,2,TAUFIK,,
170,5,SIDOARJO,16D01070009,BUMI JOYO,TRO,RAYA BUKIT PERMATA 1,Tidak,Tidak,,,2,JUARIYAH,,
171,5,SIDOARJO,16D01070016,FAJAR MULIA,TRO,RAYA PERUM KEBON AGUNG 58,Tidak,Tidak,,,2,LILIK,,
172,5,SIDOARJO,16D01070023,MULIA JAYA,TRO,BUKIT KWENI,Tidak,Tidak,,,2,MBAK TIN,,
173,5,SIDOARJO,16D01070030,"SIDOREJO, UD ",TRO,RAYA PETERONGAN,Tidak,Tidak,,,2,SUKARDI,,
